instrument,foundation,subset_n,max_n,c,mean_delta_C,std_delta_C,ci95_lo,ci95_hi,signed_rate,boot
mfq2,authority,1,8,-1.0,-21.94780569397151,1.7031622861459217,-25.243402844842635,-18.65034712971853,1.0,1000
mfq2,authority,1,8,-0.5,-11.778916624204768,2.1617081034388765,-15.926909439181971,-7.85833323997884,1.0,1000
mfq2,authority,1,8,0.5,6.550166769824412,1.609009799339993,3.3052079223610975,9.68767309064433,1.0,1000
mfq2,authority,1,8,1.0,6.943764012062649,1.407083152357942,4.173263456509923,9.598611060719358,1.0,1000
mfq2,authority,2,8,-1.0,-22.60711382781291,1.2821175599259338,-24.959462723362474,-20.124597115947996,1.0,1000
mfq2,authority,2,8,-0.5,-12.447609411986198,1.7521233156599094,-15.902817654238037,-9.117580283356528,1.0,1000
mfq2,authority,2,8,0.5,6.154713772519535,1.244797779133812,3.7973792697172857,8.541457951438048,1.0,1000
mfq2,authority,2,8,1.0,6.389879953113583,1.0603767730266271,4.295182561766993,8.375861260119233,1.0,1000
mfq2,authority,4,8,-1.0,-23.079060815117504,0.8577093389647402,-24.63620188879489,-21.231798204665576,1.0,1000
mfq2,authority,4,8,-0.5,-13.246103043917017,1.377398309982331,-16.03556892930641,-10.70874218466875,1.0,1000
mfq2,authority,4,8,0.5,5.852962542977576,0.8632611567668418,4.16806639323715,7.519854731789757,1.0,1000
mfq2,authority,4,8,1.0,6.137885106580896,0.6924767318156831,4.7126713415346515,7.5244266324773825,1.0,1000
mfq2,authority,8,8,-1.0,-23.496613365686745,0.5762924134839185,-24.53996808619377,-22.34362272007602,1.0,1000
mfq2,authority,8,8,-0.5,-14.238519877339973,1.0948406676567135,-16.22269472076622,-12.028834026132936,1.0,1000
mfq2,authority,8,8,0.5,5.597667578642867,0.6027105672370505,4.494522499635291,6.78040143402327,1.0,1000
mfq2,authority,8,8,1.0,5.965520983552636,0.4827052620761642,5.029904207795393,6.913244131010062,1.0,1000
