country,foundation,mean,sd,n,se,ci95_lo,ci95_hi,scale_max,source
Argentina,authority,3.041,0.723,400,0.0361,2.97,3.112,5,JimenezLeal2025_LatAm
Argentina,care,3.658,0.631,400,0.0315,3.596,3.719,5,JimenezLeal2025_LatAm
Argentina,fairness,3.517,0.61,400,0.0305,3.457,3.577,5,JimenezLeal2025_LatAm
Argentina,liberty,3.561,0.765,400,0.0382,3.486,3.636,5,JimenezLeal2025_LatAm
Argentina,loyalty,2.993,0.759,400,0.0379,2.919,3.068,5,JimenezLeal2025_LatAm
Argentina,sanctity,3.263,0.775,400,0.0388,3.187,3.339,5,JimenezLeal2025_LatAm
Colombia,authority,3.382,0.725,851,0.0249,3.334,3.431,5,JimenezLeal2025_LatAm
Colombia,care,3.727,0.645,851,0.0221,3.684,3.77,5,JimenezLeal2025_LatAm
Colombia,fairness,3.846,0.634,851,0.0217,3.804,3.889,5,JimenezLeal2025_LatAm
Colombia,liberty,3.486,0.794,851,0.0272,3.432,3.539,5,JimenezLeal2025_LatAm
Colombia,loyalty,3.171,0.78,851,0.0267,3.119,3.224,5,JimenezLeal2025_LatAm
Colombia,sanctity,3.448,0.754,851,0.0258,3.397,3.499,5,JimenezLeal2025_LatAm
Peru,authority,3.461,0.691,399,0.0346,3.394,3.529,5,JimenezLeal2025_LatAm
Peru,care,3.655,0.64,399,0.032,3.592,3.718,5,JimenezLeal2025_LatAm
Peru,fairness,3.752,0.619,399,0.031,3.691,3.813,5,JimenezLeal2025_LatAm
Peru,liberty,3.463,0.714,399,0.0357,3.393,3.533,5,JimenezLeal2025_LatAm
Peru,loyalty,3.379,0.743,399,0.0372,3.306,3.452,5,JimenezLeal2025_LatAm
Peru,sanctity,3.586,0.762,399,0.0382,3.511,3.66,5,JimenezLeal2025_LatAm
US,authority,3.261,0.832,416,0.0408,3.181,3.341,5,JimenezLeal2025_LatAm
US,care,3.78,0.673,416,0.033,3.715,3.845,5,JimenezLeal2025_LatAm
US,fairness,3.932,0.636,416,0.0312,3.871,3.993,5,JimenezLeal2025_LatAm
US,liberty,3.432,0.815,416,0.04,3.353,3.51,5,JimenezLeal2025_LatAm
US,loyalty,3.099,0.9,416,0.0441,3.013,3.186,5,JimenezLeal2025_LatAm
US,sanctity,3.975,0.798,416,0.0391,3.899,4.052,5,JimenezLeal2025_LatAm
Japan,authority,3.258,0.516,564,0.0217,3.216,3.301,5,Yamada2025_MFV-J
Japan,care,3.687,0.516,564,0.0217,3.644,3.729,5,Yamada2025_MFV-J
Japan,fairness,3.818,0.531,564,0.0224,3.774,3.862,5,Yamada2025_MFV-J
Japan,liberty,3.535,0.564,564,0.0237,3.488,3.581,5,Yamada2025_MFV-J
Japan,loyalty,2.699,0.616,564,0.0259,2.648,2.749,5,Yamada2025_MFV-J
Japan,sanctity,3.489,0.599,564,0.0252,3.44,3.539,5,Yamada2025_MFV-J
Netherlands,authority,2.89,0.92,269,0.0561,2.78,3.0,5,Hopp2024_DutchMFV
Netherlands,care,3.81,0.99,655,0.0387,3.73,3.89,5,Hopp2024_DutchMFV
Netherlands,fairness,3.72,0.91,318,0.051,3.62,3.82,5,Hopp2024_DutchMFV
Netherlands,liberty,3.94,0.89,304,0.051,3.84,4.04,5,Hopp2024_DutchMFV
Netherlands,loyalty,2.68,1.09,345,0.0587,2.57,2.8,5,Hopp2024_DutchMFV
Netherlands,sanctity,3.64,1.15,353,0.0612,3.52,3.76,5,Hopp2024_DutchMFV
Brazil,authority,3.54,0.57,494,0.0256,3.49,3.59,5,Marques2020_BrazilMFV_fig3digitized_affinecal
Brazil,care,4.17,0.62,494,0.0279,4.12,4.22,5,Marques2020_BrazilMFV_fig3digitized_affinecal
Brazil,fairness,4.25,0.46,494,0.0207,4.2,4.29,5,Marques2020_BrazilMFV_fig3digitized_affinecal
Brazil,liberty,4.14,0.62,494,0.0279,4.09,4.19,5,Marques2020_BrazilMFV_fig3digitized_affinecal
Brazil,loyalty,3.06,0.85,494,0.0382,2.98,3.13,5,Marques2020_BrazilMFV_fig3digitized_affinecal
Brazil,sanctity,3.45,0.79,494,0.0355,3.38,3.52,5,Marques2020_BrazilMFV_fig3digitized_affinecal
Australia,authority,3.183,0.603,756,0.0219,3.140,3.226,5,Crone2021_AusUndergrad_MFV90raw
Australia,care,3.940,0.532,756,0.0193,3.902,3.978,5,Crone2021_AusUndergrad_MFV90raw
Australia,fairness,3.734,0.514,756,0.0187,3.698,3.771,5,Crone2021_AusUndergrad_MFV90raw
Australia,liberty,3.689,0.579,756,0.0211,3.647,3.730,5,Crone2021_AusUndergrad_MFV90raw
Australia,loyalty,2.977,0.676,756,0.0246,2.929,3.025,5,Crone2021_AusUndergrad_MFV90raw
Australia,sanctity,3.745,0.731,756,0.0266,3.693,3.798,5,Crone2021_AusUndergrad_MFV90raw
